Ticker
SMH
SOXX
XLK
FTEC
VGT
QTEC
QQQ
FXL
ARKK
MOAT
IGV
SPHQ
IHI
XBI
VTI
DGRO
SPLV
USMV
SCHD
XLU
SKYY
IBB
FUTY
VPU
FDN
FZAHX
CPODX
SCATX
FDYZX
NWJEX
LBFIX
ACFSX
VDIGX
CDDRX
MPAIX
MSEQX
AMRFX
TFOIX
BIOIX
SDSCX
BFTIX
PICMX
AKRIX
MGGPX
PSTKX
MWATX
AUEIX
